wrclmch,prtcleat,anweight,party_feel_closest
0.0,2.0,0.19595523,middle right
-0.5,1.0,0.3902762,middle left
0.5,66.0,0.19620048,none
-1.0,3.0,0.3458101,right
0.5,66.0,0.44384092,none
-0.5,66.0,0.111213244,none
0.0,66.0,0.15354015,none
0.0,66.0,0.087982416,none
0.5,66.0,0.14813694,none
0.5,66.0,0.09901453,none
0.5,66.0,0.16330086,none
0.5,66.0,0.29824904,none
0.5,3.0,0.6640751,right
0.5,66.0,0.14645998,none
0.5,2.0,1.3238645,middle right
0.0,66.0,0.27020162,none
0.0,66.0,0.11543136,none
0.0,66.0,0.22502883,none
1.0,66.0,0.33221436,none
0.0,66.0,0.10895584,none
0.5,1.0,0.22023581,middle left
0.0,66.0,0.2009704,none
0.5,2.0,0.47106415,middle right
0.5,66.0,0.7116839,none
0.5,66.0,0.16562891,none
0.0,66.0,0.096233934,none
0.0,66.0,0.19830985,none
0.0,2.0,0.32166973,middle right
0.0,66.0,0.46126106,none
0.5,1.0,0.5515407,middle left
0.5,3.0,0.13114928,right
-0.5,3.0,0.22431438,right
0.5,5.0,1.3238645,left
-0.5,3.0,0.47409463,right
1.0,5.0,0.9502628,left
0.0,2.0,0.4606979,middle right
0.0,2.0,1.3236659,middle right
-1.0,66.0,0.33197123,none
0.5,66.0,0.22805028,none
0.0,66.0,0.18054458,none
-0.5,6.0,0.33327895,left
0.5,66.0,0.17250448,none
0.0,2.0,0.12845486,middle right
0.5,66.0,0.8455839,none
1.0,66.0,0.78712744,none
0.5,66.0,0.1429579,none
0.5,66.0,1.3238645,none
-1.0,6.0,0.50128865,left
-0.5,66.0,0.16538699,none
0.0,66.0,0.04043541,none
0.0,66.0,0.12389362,none
1.0,66.0,0.2998124,none
0.0,66.0,0.19830987,none
0.0,66.0,0.9322998,none
0.0,66.0,0.19830985,none
0.5,66.0,0.04647404,none
0.5,66.0,0.2758307,none
0.0,66.0,0.2998124,none
0.0,2.0,0.060802206,middle right
0.5,66.0,0.07704723,none
0.0,1.0,0.36943728,middle left
0.5,1.0,0.03607056,middle left
0.0,1.0,1.3238642,middle left
0.0,1.0,0.18917201,middle left
0.5,5.0,0.13819683,left
0.0,66.0,0.21715903,none
0.0,3.0,0.9413507,right
1.0,1.0,0.10090476,middle left
0.0,66.0,0.22115105,none
0.0,2.0,0.38345438,middle right
-0.5,66.0,0.50128865,none
0.5,66.0,0.07684516,none
0.5,66.0,0.038385037,none
0.0,66.0,0.3019011,none
1.0,5.0,0.3338157,left
0.0,66.0,0.10899844,none
-1.0,66.0,0.08269351,none
0.0,66.0,1.3238645,none
0.5,66.0,0.8007314,none
0.5,66.0,0.24013658,none
-0.5,66.0,0.05687139,none
1.0,66.0,0.13517718,none
-1.0,66.0,0.27543792,none
0.5,66.0,0.39273718,none
0.5,66.0,0.12473268,none
0.0,2.0,0.473632,middle right
0.0,3.0,0.103764966,right
0.0,66.0,1.3238645,none
1.0,66.0,0.24320082,none
-0.5,66.0,0.087982416,none
0.0,66.0,0.08184654,none
0.0,66.0,0.14720772,none
0.0,66.0,0.41595003,none
0.5,5.0,0.12667987,left
